feedback_id,product,date,source,persona,plan,severity,text,hidden_theme
FB-0001,ProjectFlow,2026-01-14,Support ticket,Founder,Team,Medium,Not sure if bug but Need Google Calendar 2-way sync. Any workaround?,Integrations
FB-0002,ProjectFlow,2026-01-18,Sales call note,PM,Free,Low,Too many email notifications—hard to tune. Please fix asap.,Notifications overload
FB-0003,ProjectFlow,2025-12-24,In-app feedback,Ops,Free,Medium,I can’t change a user from Viewer to Editor. This is blocking us.,Invites & permissions
FB-0004,ProjectFlow,2025-12-28,In-app feedback,PM,Team,High,I was charged but the plan didn’t upgrade. This is blocking us.,Billing & pricing
FB-0005,ProjectFlow,2026-01-18,Sales call note,Founder,Free,High,Jira integration keeps disconnecting. This is blocking us.,Integrations
FB-0006,ProjectFlow,2025-12-27,In-app feedback,Developer,Pro,Medium,"FYI, Where do I start after signing up?",Onboarding confusion
FB-0007,ProjectFlow,2026-01-17,Sales call note,Ops,Free,Low,Suggestion: Where do I start after signing up?,Onboarding confusion
FB-0008,ProjectFlow,2026-01-27,Sales call note,Founder,Pro,Medium,Suggestion: Need Google Calendar 2-way sync. Please fix asap.,Integrations
FB-0009,ProjectFlow,2026-02-13,Support ticket,PM,Team,Medium,Quick question: Webhook support for task updates is missing. This is blocking us.,Integrations
FB-0010,ProjectFlow,2026-01-09,App review,Ops,Pro,High,"FYI, Inviting teammates fails with 'unknown error'. Any workaround?",Invites & permissions
FB-0011,ProjectFlow,2026-01-04,Support ticket,Founder,Free,Medium,Suggestion: Jira integration keeps disconnecting.,Integrations
FB-0012,ProjectFlow,2026-01-19,In-app feedback,Sales,Pro,Low,Not sure if bug but Search is slow and sometimes times out. Please fix asap.,Performance / slowness
FB-0013,ProjectFlow,2026-02-03,NPS comment,Ops,Pro,High,Not sure if bug but Basic burndown chart would be useful. Thanks!,Reporting / export
FB-0014,ProjectFlow,2026-01-22,Support ticket,Founder,Pro,High,I need Slack notifications only for @mentions.,Notifications overload
FB-0015,ProjectFlow,2026-01-27,Sales call note,Founder,Pro,Low,"FYI, App feels laggy on mobile web.",Performance / slowness
FB-0016,ProjectFlow,2026-01-16,Sales call note,Developer,Team,Low,Gantt view freezes with many tasks. Please fix asap.,Performance / slowness
FB-0017,ProjectFlow,2026-01-19,In-app feedback,PM,Free,Low,Suggestion: Where do I download invoices? Any workaround?,Billing & pricing
FB-0018,ProjectFlow,2026-02-20,Support ticket,Founder,Free,Low,Integrations page is confusing to set up.,Integrations
FB-0019,ProjectFlow,2026-01-29,NPS comment,PM,Pro,Medium,"Honestly, SSO keeps looping me back to the login screen. This is blocking us.",Login / SSO issues
FB-0020,ProjectFlow,2026-02-07,NPS comment,PM,Free,Low,Suggestion: Template gallery is hard to discover. Please fix asap.,Onboarding confusion
FB-0021,ProjectFlow,2026-02-04,In-app feedback,Sales,Pro,Medium,Gantt view freezes with many tasks.,Performance / slowness
FB-0022,ProjectFlow,2026-01-24,NPS comment,Developer,Pro,Low,"FYI, Can’t sign in with Google—button just spins. Any workaround?",Login / SSO issues
FB-0023,ProjectFlow,2026-01-30,In-app feedback,Ops,Pro,High,"Honestly, App feels laggy on mobile web. This is blocking us.",Performance / slowness
